neural_subject,behavior_subject,roi,metric,spearman_r,same_subject
sub-003,sub-002,RH_IFG,euclidean,0.13540689927182992,False
sub-003,sub-002,RH_IFG,cosine,0.017737463780565545,False
sub-003,sub-002,RH_MFG,correlation,0.057990260479569886,False
sub-003,sub-002,RH_MFG,euclidean,0.07628545217506227,False
sub-003,sub-002,RH_MFG,cosine,0.057990260479569886,False
sub-003,sub-002,RH_AntTemp,correlation,0.03565797672295323,False
sub-003,sub-002,RH_AntTemp,euclidean,-0.015080676805306364,False
sub-003,sub-002,RH_AntTemp,cosine,0.03551296746507226,False
sub-003,sub-002,RH_PostTemp,correlation,0.07436229191866839,False
sub-003,sub-002,RH_PostTemp,euclidean,0.05704755729618585,False
sub-003,sub-002,RH_PostTemp,cosine,0.0742839239962633,False
sub-003,sub-002,ALL,correlation,0.06386327843090718,False
sub-003,sub-002,ALL,euclidean,0.016483004993453183,False
sub-003,sub-002,ALL,cosine,0.0638403972856794,False
sub-003,sub-003,LH_IFGorb,correlation,0.031429820658584254,True
sub-003,sub-003,LH_IFGorb,euclidean,0.016112801372222065,True
sub-003,sub-003,LH_IFGorb,cosine,0.031429820658584254,True
sub-003,sub-003,LH_IFG,correlation,-0.034381786449973264,True
sub-003,sub-003,LH_IFG,euclidean,-0.04956679448905815,True
sub-003,sub-003,LH_IFG,cosine,-0.03429235025863605,True
sub-003,sub-003,LH_MFG,correlation,0.03568789772985315,True
sub-003,sub-003,LH_MFG,euclidean,0.007869813360413905,True
sub-003,sub-003,LH_MFG,cosine,0.03568789772985315,True
sub-003,sub-003,LH_AntTemp,correlation,-0.04673712483151045,True
sub-003,sub-003,LH_AntTemp,euclidean,0.01318169450085739,True
sub-003,sub-003,LH_AntTemp,cosine,-0.04673712483151045,True
sub-003,sub-003,LH_PostTemp,correlation,0.024252351999799963,True
sub-003,sub-003,LH_PostTemp,euclidean,0.0340451863432792,True
sub-003,sub-003,LH_PostTemp,cosine,0.024252351999799963,True
sub-003,sub-003,RH_IFGorb,correlation,-0.06265619541227363,True
sub-003,sub-003,RH_IFGorb,euclidean,-0.07480980232069875,True
sub-003,sub-003,RH_IFGorb,cosine,-0.06265619541227363,True
sub-003,sub-003,RH_IFG,correlation,0.03655854333689625,True
sub-003,sub-003,RH_IFG,euclidean,0.05743832228125489,True
sub-003,sub-003,RH_IFG,cosine,0.036675981914019565,True
sub-003,sub-003,RH_MFG,correlation,-0.03382059577972953,True
sub-003,sub-003,RH_MFG,euclidean,-0.0021870434776199267,True
sub-003,sub-003,RH_MFG,cosine,-0.03382059577972953,True
sub-003,sub-003,RH_AntTemp,correlation,0.030339727783339935,True
sub-003,sub-003,RH_AntTemp,euclidean,-0.017477774809978846,True
sub-003,sub-003,RH_AntTemp,cosine,0.030265150000787177,True
sub-003,sub-003,RH_PostTemp,correlation,-0.050139986181781636,True
sub-003,sub-003,RH_PostTemp,euclidean,-0.06366542425509485,True
sub-003,sub-003,RH_PostTemp,cosine,-0.05025142424766507,True
sub-003,sub-003,ALL,correlation,-0.0033662868055709906,True
sub-003,sub-003,ALL,euclidean,-0.006240531689472068,True
sub-003,sub-003,ALL,cosine,-0.0035214428819163807,True
sub-003,sub-004,LH_IFGorb,correlation,0.08180591133696305,False
sub-003,sub-004,LH_IFGorb,euclidean,0.039460312283133084,False
sub-003,sub-004,LH_IFGorb,cosine,0.08180591133696305,False
sub-003,sub-004,LH_IFG,correlation,0.05572752301950032,False
sub-003,sub-004,LH_IFG,euclidean,0.0006024256589804742,False
